"","avg_logFC","p_val","p_val_adj"
"Dok7",-1.29167364416968,2.34762902461548e-08,0.000280459501425688
"Gfap",-1.81301748086572,1.93415915904729e-06,0.00660183782673098
"Grin3a",-0.799522848659689,7.19173047735276e-07,0.00286386693825649
"Kcnj3",-1.62138384512655,7.75803421193147e-11,1.85362711425679e-06
"Prune2",-1.09258378569443,2.92770829279134e-06,0.00699517342396635
"Slc1a5",-1.45350223661773,4.18521306116678e-07,0.00244146562252821
"Slc20a1",-0.72357780621051,5.10916507455784e-07,0.00244146562252821
