"","gene","combined_p_val"
"3325","Ccdc113",NA
"3326","Iqck",NA
"3327","Deup1",NA
"3328","Vangl1",NA
"3329","Ccdc162",NA
"3330","Cabcoco1",NA
"3331","Cfap47",NA
"3332","Cd109",NA
"3333","Gm15587",NA
"3334","Pxdc1",NA
"3335","Cfap99",NA
"3336","Gpc4",NA
"3337","Mlc1",NA
"3338","4930523C07Rik",NA
"3339","Tram2",NA
"3340","Styxl1",NA
"3341","Spata6",NA
"3342","Zbbx",NA
"3343","Tsnaxip1",NA
"3344","Afap1l2",NA
"3345","Ptpn14",NA
"3346","Iqub",NA
"3347","S100a6",NA
"3348","Cfap97d2",NA
"3349","Rsph1",NA
"3350","Ankub1",NA
"3351","Eno4",NA
"3352","Ak8",NA
"3353","T2",NA
"3354","Uaca",NA
"3355","Shroom3",NA
"3356","5330413P13Rik",NA
"3357","Acot6",NA
"3358","Dnah2",NA
"3359","Sgms2",NA
"3360","Frem1",NA
"3361","Gm14280",NA
"3362","Ddr2",NA
"3363","Cfap45",NA
"3364","Riiad1",NA
"3365","Stk36",NA
"3366","Anxa11",NA
"3367","Adamts20",NA
"3368","Cdkl4",NA
"3369","9530026P05Rik",NA
"3370","Gm36037",NA
"3371","Eva1c",NA
"3372","Vwa3b",NA
"3373","Togaram2",NA
"3374","Col6a5",NA
"3375","Amotl2",NA
"3376","Gpr156",NA
"3377","Dkk3",NA
"3378","Fank1",NA
"3379","Wdr66",NA
"3380","Cfap57",NA
"3381","Gm4681",NA
"3382","Slc2a1",NA
"3383","Fgf7",NA
"3384","Aqp4",NA
"3385","Lrriq3",NA
"3386","Nudt4",NA
"3387","Plod2",NA
"3388","Atp8b5",NA
"3389","Arhgef33",NA
"3390","Wwtr1",NA
"3391","Il6ra",NA
"3392","Kif19a",NA
"3393","Lrrc6",NA
"3394","Fbxw10",NA
"3395","Gm4876",NA
"3396","Slc25a18",NA
"3397","Lrrc51",NA
"3398","Lrriq1",NA
"3399","Ankfn1",NA
"3400","Cfap44",NA
"3401","Col26a1",NA
"3402","6820408C15Rik",NA
"3403","Ptpn13",NA
"3404","Kif6",NA
"3405","Cnn3",NA
"3406","E130006D01Rik",NA
"3407","4930412C18Rik",NA
"3408","Pygl",NA
"3409","Tgfbr2",NA
"3410","Ezr",NA
"3411","Bmp6",NA
"3412","Rsph10b",NA
"3413","Pbxip1",NA
"3414","Saxo2",NA
"3415","Hmcn1",NA
"3416","Gm973",NA
"3417","Kif27",NA
"3418","Slc7a2",NA
"3419","Mob3b",NA
"3420","Ttc16",NA
"3421","Ccn1",NA
"3422","Dnaaf4",NA
"3423","Ttll3",NA
"3424","Iqank1",NA
"3425","Zfp36l1",NA
"3426","Lama3",NA
"3427","Cachd1",NA
"3428","Fhod3",NA
"3429","Gm5087",NA
"3430","Slc38a3",NA
"3431","Srl",NA
"3432","Zmynd12",NA
"3433","Gm3294",NA
"3434","Gm16364.1",NA
"3435","Ccbe1",NA
"3436","Asb14",NA
"3437","Glis3",NA
"3438","Ppp1r42",NA
"3439","St8sia2",NA
"3440","1700088E04Rik",NA
"3441","Ccdc40",NA
"3442","Kcnj16",NA
"3443","Efcab6",NA
"3444","Itpkb",NA
"3445","Ccdc80",NA
"3446","Trp63",NA
"3447","Zfp423",NA
"3448","Myb",NA
"3449","Nek10",NA
"3450","Slc39a12",NA
"3451","Rhpn2",NA
"3452","Antxr1",NA
"3453","Akna",NA
"3454","Sec24d",NA
"3455","Tmem53",NA
"3456","Tmem108",NA
"3457","Ccdc150",NA
"3458","Sparc",NA
"3459","Gm17359",NA
"3460","Drc3",NA
"3461","Gulp1",NA
"3462","Syt10",NA
"3463","Cadps2",NA
"3464","Cobll1",NA
"3465","Spag6l",NA
"3466","Rgs12",NA
"3467","Iqcg",NA
"3468","Txnip",NA
"3469","Plekha2",NA
"3470","Cdc14a",NA
"3471","Armc2",NA
"3472","Kif9",NA
"3473","Paqr5",NA
"3474","Agbl3",NA
"3475","Ppil6",NA
"3476","Cdk6",NA
"3477","Ccdc173",NA
"3478","1700094D03Rik",NA
"3479","Gm49494",NA
"3480","Tspan18",NA
"3481","9230114K14Rik",NA
"3482","Spef1",NA
"3483","Dbi",NA
"3484","March10",NA
"3485","Nck2",NA
"3486","Rmst",NA
"3487","Gm13266",NA
"3488","Ntn4",NA
"3489","Mboat1",NA
"3490","Slc38a1",NA
"3491","Gja1",NA
"3492","Adamts16",NA
"3493","Nme5",NA
"3494","Zfp521",NA
"3495","Cald1",NA
"3496","Cep128",NA
"3497","Sox6",NA
"3498","Myo1e",NA
"3499","9530036O11Rik",NA
"3500","Frem2",NA
"3501","Synpo2",NA
"3502","Ascc1",NA
"3503","Plcb4",NA
"3504","Plekha7",NA
"3505","Gm36560",NA
"3506","Gm12296",NA
"3507","Rassf4",NA
"3508","Hipk1",NA
"3509","Spata24",NA
"3510","Lhfp",NA
"3511","St3gal6",NA
"3512","Nxn",NA
"3513","Cfap54",NA
"3514","1300017J02Rik",NA
"3515","Stox1",NA
"3516","Gm49417",NA
"3517","Gm40578",NA
"3518","Drc1",NA
"3519","Grk4",NA
"3520","Tacc2",NA
"3521","Prag1",NA
"3522","Antxr2",NA
"3523","Ccdc171",NA
"3524","Bicc1",NA
"3525","Erich2",NA
"3526","Cp",NA
"3527","Hunk",NA
"3528","Nhsl1",NA
"3529","Mak",NA
"3530","Wdr27",NA
"3531","Ccdc190",NA
"3532","Plce1",NA
"3533","Gcnt2",NA
"3534","Rsph9",NA
"3535","Cfap69",NA
"3536","Pitpnm3",NA
"3537","Ccdc65",NA
"3538","Tnfaip8",NA
"3539","Csrp2",NA
"3540","Pard3b",NA
"3541","E130114P18Rik",NA
"3542","Wdr78",NA
"3543","Suclg2",NA
"3544","Fam161a",NA
"3545","Ston2",NA
"3546","Eps8",NA
"3547","Sncaip",NA
"3548","Dyrk2",NA
"3549","Elof1",NA
"3550","Sox9",NA
"3551","Boc",NA
"3552","Gm14964",NA
"3553","Arhgef4",NA
"3554","Yap1",NA
"3555","Tead1",NA
"3556","Sorbs3",NA
"3557","Ttc28",NA
"3558","Parva",NA
"3559","Rpgrip1l",NA
"3560","Irs1",NA
"3561","Gm13830",NA
"3562","Gm17135",NA
"3563","Cfap206",NA
"3564","Cfap74",NA
"3565","Adamts6",NA
"3566","Mro",NA
"3567","Adgra3",NA
"3568","A430108G06Rik",NA
"3569","Iqch",NA
"3570","Arhgef26",NA
"3571","Ccdc39",NA
"3572","Pde6h",NA
"3573","Gas6",NA
"3574","Efcab12",NA
"3575","Dnah1",NA
"3576","Syne2",NA
"3577","Tmem47",NA
"3578","Scml4",NA
"3579","Ptprk",NA
"3580","Aox1",NA
"3581","5430403G16Rik",NA
"3582","Ccdc13",NA
"3583","Wdpcp",NA
"3584","Erich3",NA
"3585","Ccdc30",NA
"3586","Ankrd44",NA
"3587","Zhx2",NA
"3588","Cdk5rap2",NA
"3589","1700029J07Rik",NA
"3590","Fggy",NA
"3591","Sox5",NA
"3592","Prune2",NA
"3593","Katnal2",NA
"3594","Rhobtb1",NA
"3595","Maml2",NA
"3596","Iqgap2",NA
"3597","Mpdz",NA
"3598","Wwc1",NA
"3599","Lca5",NA
"3600","Sap30bpos",NA
"3601","Gcnt1",NA
"3602","Pla2g7",NA
"3603","Slc14a2",NA
"3604","Ankef1",NA
"3605","Rreb1",NA
"3606","Shank2",NA
"3607","Epb41l5",NA
"3608","Abcc4",NA
"3609","Npas3",NA
"3610","Ccdc148",NA
"3611","Kif24",NA
"3612","Ccdc3",NA
"3613","Ulk4",NA
"3614","Hsph1",NA
"3615","Rsph3b",NA
"3616","Ccdc88c",NA
"3617","Ccdc191",NA
"3618","Fam227a",NA
"3619","Adhfe1",NA
"3620","Wdr35",NA
"3621","Fzd3",NA
"3622","Stard8",NA
"3623","Efcab7",NA
"3624","Zfand4",NA
"3625","Nwd1",NA
"3626","Morn1",NA
"3627","Btbd11",NA
"3628","Wnt4",NA
"3629","Agbl4",NA
"3630","Zdhhc23",NA
"3631","Hacl1",NA
"3632","Adipor2",NA
"3633","Dnal1",NA
"3634","Nfia",NA
"3635","Nfix",NA
"3636","Sobp",NA
"3637","Mt3",NA
"3638","Ddr1",NA
"3639","Rai14",NA
"3640","Tsga10",NA
"3641","Syne1",NA
"3642","Ttll5",NA
"3643","Gm42722",NA
"3644","Lyrm1",NA
"3645","Flvcr1",NA
"3646","Dnaaf5",NA
"3647","Gprc5b",NA
"3648","Ift74",NA
"3649","Mns1",NA
"3650","Dmd",NA
"3651","Efcab1",NA
"3652","Tubb4b",NA
"3653","Dnaja4",NA
"3654","Plxnb2",NA
"3655","Polk",NA
"3656","Lekr1",NA
"3657","Cep126",NA
"3658","March4",NA
"3659","Ift88",NA
"3660","Rfx4",NA
"3661","Ift43",NA
"3662","Zfp462",NA
"3663","Sh3pxd2b",NA
"3664","Plagl1",NA
"3665","Ehbp1",NA
"3666","Gm16759",NA
"3667","1110017D15Rik",NA
"3668","Iffo2",NA
"3669","Rimklb",NA
"3670","Plpp1",NA
"3671","Rhbdd1",NA
"3672","Rsph14",NA
"3673","Ccdc138",NA
"3674","Zbtb20",NA
"3675","Etnppl",NA
"3676","Ccdc122",NA
"3677","St5",NA
"3678","Gm5089.1",NA
"3679","Fsd1l",NA
"3680","Zbtb7c",NA
"3681","Slc45a4",NA
"3682","Hspa4l",NA
"3683","Nckap5",NA
"3684","Ccnd3",NA
"3685","Pacrg",NA
"3686","Wrn",NA
"3687","Cep83",NA
"3688","Lpar1",NA
"3689","Galk2",NA
"3690","2210408I21Rik",NA
"3691","4930522L14Rik",NA
"3692","Pdlim5",NA
"3693","Rgs6",NA
"3694","Gstm1",NA
"3695","BC006965",NA
"3696","C2cd3",NA
"3697","Gramd3",NA
"3698","Macf1",NA
"3699","Ctnna1",NA
"3700","Ldlrad3",NA
"3701","Intu",NA
"3702","Slc35d1",NA
"3703","Ttc23",NA
"3704","Cecr2",NA
"3705","Slc24a4",NA
"3706","Endog",NA
"3707","Rfx3",NA
"3708","Jam2",NA
"3709","Sulf2",NA
"3710","2900026A02Rik",NA
"3711","Agmo",NA
"3712","Prdm16",NA
"3713","Ift81",NA
"3714","Nphp1",NA
"3715","Gm33680",NA
"3716","Smoc1",NA
"3717","Rapgef3",NA
"3718","Wwox",NA
"3719","Ccdc78",NA
"3720","P3h2",NA
"3721","Atxn1",NA
"3722","Sdccag8",NA
"3723","Odf2l",NA
"3724","Nfib",NA
"3725","Tle3",NA
"3726","Ext1",NA
"3727","Lca5l",NA
"3728","Abca1",NA
"3729","Tcf7l2",NA
"3730","Arhgap21",NA
"3731","Kiz",NA
"3732","Gm35438.1",NA
"3733","Apbb2",NA
"3734","4632427E13Rik",NA
"3735","Tbc1d31",NA
"3736","Cep112",NA
"3737","Slc22a4",NA
"3738","Shisa6",NA
"3739","Clu",NA
"3740","Arvcf",NA
"3741","Id4",NA
"3742","Stk3",NA
"3743","Pakap",NA
"3744","Rdh10",NA
"3745","Greb1",NA
"3746","Tex9",NA
"3747","Cntrl",NA
"3748","Kazn",NA
"3749","Pkp4",NA
"3750","Ift172",NA
"3751","Fgfr1",NA
"3752","Tango6",NA
"3753","Tbc1d32",NA
"3754","Bphl",NA
"3755","Msi2",NA
"3756","Sh3bgrl2",NA
"3757","Ccdc57",NA
"3758","Cpne2",NA
"3759","Nnat",NA
"3760","Fhit",NA
"3761","Dync2h1",NA
"3762","Tctn2",NA
"3763","Kndc1",NA
"3764","Fbxo16",NA
"3765","Fbxo36",NA
"3766","5031425E22Rik",NA
"3767","Slc5a3",NA
"3768","Sorl1",NA
"3769","Nek1",NA
"3770","Lpin1",NA
"3771","Cdk14",NA
"3772","Crtc3",NA
"3773","2610301B20Rik",NA
"3774","Dach2",NA
"3775","Arhgap5",NA
"3776","Mir99ahg",NA
"3777","4933406C10Rik",NA
"3778","Mok",NA
"3779","Stard13",NA
"3780","Fads2",NA
"3781","Rora",NA
"3782","2810403D21Rik",NA
"3783","Kcnn3",NA
"3784","Arhgap18",NA
"3785","Wdr31",NA
"3786","Rnf180",NA
"3787","Bbs9",NA
"3788","Dnajc3",NA
"3789","Ppp1cb",NA
"3790","Wdr19",NA
"3791","Mindy4",NA
"3792","Agpat4",NA
